episode_index,dataset_from_index,dataset_to_index,length,task,official_env,fully_within_single_scene,overlap_frames
46,2667,2732,65,lift_blue_block_drawer: grasp the blue block in the drawer,B,True,"{""B"": 65}"
47,2732,2780,48,rotate_blue_block_left: rotate left the blue block,B,True,"{""B"": 48}"
48,2780,2845,65,lift_blue_block_drawer: go towards the blue block in the drawer and lift it,B,True,"{""B"": 65}"
49,2845,2910,65,lift_red_block_drawer: lift the red block in the drawer,B,True,"{""B"": 65}"
50,2910,2956,46,"place_in_drawer: move to the drawer, then place the object",B,True,"{""B"": 46}"
51,2956,3002,46,stack_block: stack the object on top of another object,B,True,"{""B"": 46}"
52,3002,3067,65,place_in_slider: put the block in the slider,B,True,"{""B"": 65}"
53,3067,3132,65,open_drawer: grasp the drawer handle and open it,B,True,"{""B"": 65}"
54,3132,3176,44,move_slider_right: grasp the door handle and slide the door to the right,B,True,"{""B"": 44}"
55,3176,3241,65,turn_on_lightbulb: move the light switch to turn on the yellow light,B,True,"{""B"": 65}"
56,3241,3290,49,stack_block: place the block on top of another block,B,True,"{""B"": 49}"
57,3290,3355,65,move_slider_right: slide the door to the right,B,True,"{""B"": 65}"
58,3355,3420,65,stack_block: put the grasped block on top of a block,B,True,"{""B"": 65}"
59,3420,3485,65,rotate_red_block_left: take the red block and turn it left,B,True,"{""B"": 65}"
60,3485,3550,65,turn_on_led: turn on the led light,B,True,"{""B"": 65}"
61,3550,3615,65,"lift_blue_block_table: grasp the blue block on the table, then lift it up",B,True,"{""B"": 65}"
62,3615,3680,65,turn_on_led: toggle the button to turn on the green light,B,True,"{""B"": 65}"
63,3680,3745,65,close_drawer: close the drawer,B,True,"{""B"": 65}"
64,3745,3810,65,unstack_block: unstack the blocks,B,True,"{""B"": 65}"
65,3810,3875,65,turn_off_lightbulb: turn off the yellow light,B,True,"{""B"": 65}"
66,3875,3940,65,turn_on_lightbulb: turn on the light bulb,B,True,"{""B"": 65}"
67,3940,4005,65,open_drawer: pull the handle of the drawer,B,True,"{""B"": 65}"
68,4005,4070,65,lift_red_block_drawer: go towards the red block in the drawer and grasp it,B,True,"{""B"": 65}"
69,4070,4135,65,"move_slider_left: grasp the door handle, then slide the door to the left",B,True,"{""B"": 65}"
70,4135,4200,65,turn_on_lightbulb: turn on the yellow lamp,B,True,"{""B"": 65}"
71,4200,4238,38,stack_block: stack the blocks,B,True,"{""B"": 38}"
72,4238,4303,65,open_drawer: pull the handle of the drawer,B,True,"{""B"": 65}"
73,4303,4368,65,move_slider_right: slide the door all the way to the right,B,True,"{""B"": 65}"
74,4368,4403,35,place_in_slider: place the grasped object in the slider,B,True,"{""B"": 35}"
75,4403,4468,65,turn_on_lightbulb: toggle the light switch to turn on the yellow light,B,True,"{""B"": 65}"
76,4468,4533,65,"move_slider_left: grasp the door handle, then slide the door to the left",B,True,"{""B"": 65}"
77,4533,4598,65,move_slider_left: push the door to the left side,B,True,"{""B"": 65}"
78,4598,4663,65,turn_on_led: turn on the green lamp,B,True,"{""B"": 65}"
79,4663,4700,37,place_in_drawer: put the block in the drawer,B,True,"{""B"": 37}"
80,4700,4765,65,lift_pink_block_slider: in the cabinet grasp the pink block,B,True,"{""B"": 65}"
81,4765,4830,65,move_slider_left: grasp the door handle and move the door to the left,B,True,"{""B"": 65}"
82,4830,4895,65,turn_off_led: turn off the green lamp,B,True,"{""B"": 65}"
83,4895,4960,65,move_slider_left: move the door to the left side,B,True,"{""B"": 65}"
84,4960,5025,65,"open_drawer: grasp the drawer handle, then open it",B,True,"{""B"": 65}"
85,5025,5073,48,push_into_drawer: sweep the block into the drawer,B,True,"{""B"": 48}"
86,5073,5138,65,lift_pink_block_drawer: go towards the pink block in the drawer and pick it up,B,True,"{""B"": 65}"
87,5138,5183,45,push_blue_block_left: slide left the blue block,B,True,"{""B"": 45}"
88,5183,5220,37,place_in_slider: place the block in the sliding cabinet,B,True,"{""B"": 37}"
89,5220,5285,65,lift_blue_block_drawer: grasp the blue block in the drawer,B,True,"{""B"": 65}"
90,5285,5350,65,rotate_blue_block_right: take the blue block and rotate it right,B,True,"{""B"": 65}"
91,5350,5388,38,turn_off_led: push the button to turn off the led,B,True,"{""B"": 38}"
92,5388,5453,65,move_slider_left: move the door all the way to the left,B,True,"{""B"": 65}"
93,5453,5499,46,lift_pink_block_slider: pick up the pink block from the sliding cabinet,B,True,"{""B"": 46}"
94,5499,5564,65,"lift_blue_block_table: grasp the blue block, then lift it up",B,True,"{""B"": 65}"
95,5564,5629,65,move_slider_left: grasp the door handle and move the door to the left,B,True,"{""B"": 65}"
96,5629,5694,65,lift_blue_block_table: grasp the blue block and lift it up,B,True,"{""B"": 65}"
97,5694,5759,65,"close_drawer: grasp the drawer handle, then close it",B,True,"{""B"": 65}"
98,5759,5824,65,turn_off_lightbulb: turn off the yellow lamp,B,True,"{""B"": 65}"
99,5824,5866,42,place_in_slider: place the object in the cabinet,B,True,"{""B"": 42}"
100,5866,5931,65,turn_off_lightbulb: turn off the yellow light,B,True,"{""B"": 65}"
101,5931,5996,65,lift_pink_block_slider: pick up the pink block in the sliding cabinet,B,True,"{""B"": 65}"
102,5996,6033,37,move_slider_left: move the door to the left side,B,True,"{""B"": 37}"
103,6033,6073,40,turn_on_led: turn on the green lamp,B,True,"{""B"": 40}"
104,6073,6110,37,place_in_slider: place the object in the sliding cabinet,B,True,"{""B"": 37}"
105,6110,6175,65,move_slider_right: push the door to the right,B,True,"{""B"": 65}"
106,6175,6240,65,rotate_red_block_left: grasp the red block and turn it left,B,True,"{""B"": 65}"
107,6240,6305,65,place_in_drawer: put the grasped object in the drawer,B,True,"{""B"": 65}"
108,6305,6370,65,"rotate_pink_block_right: grasp the pink block, then rotate it right",B,True,"{""B"": 65}"
109,6370,6408,38,place_in_drawer: store the grasped object in the drawer,B,True,"{""B"": 38}"
110,6408,6473,65,turn_off_lightbulb: push the switch downwards,B,True,"{""B"": 65}"
111,6473,6511,38,place_in_drawer: store the grasped object in the drawer,B,True,"{""B"": 38}"
112,6511,6576,65,place_in_slider: place the object in the sliding cabinet,B,True,"{""B"": 65}"
113,6576,6641,65,lift_red_block_table: pick up the red block,B,True,"{""B"": 65}"
114,6641,6684,43,turn_off_led: toggle the button to turn off the led,B,True,"{""B"": 43}"
115,6684,6749,65,"rotate_blue_block_left: grasp the blue block, then turn it left",B,True,"{""B"": 65}"
116,6749,6814,65,lift_blue_block_drawer: go towards the blue block in the drawer and lift it,B,True,"{""B"": 65}"
117,6814,6879,65,push_pink_block_left: push the pink block towards the left,B,True,"{""B"": 65}"
118,6879,6944,65,lift_blue_block_table: lift the blue block up,B,True,"{""B"": 65}"
119,6944,7009,65,move_slider_right: move the door all the way to the right,B,True,"{""B"": 65}"
120,7009,7051,42,place_in_slider: place the object in the slider,B,True,"{""B"": 42}"
121,7051,7116,65,lift_blue_block_slider: in the slider pick up the blue block,B,True,"{""B"": 65}"
122,7116,7181,65,turn_off_led: push the button to turn off the green light,B,True,"{""B"": 65}"
123,7181,7246,65,stack_block: put the block on top of another block,B,True,"{""B"": 65}"
124,7246,7284,38,lift_blue_block_drawer: lift the blue block in the drawer,B,True,"{""B"": 38}"
125,7284,7349,65,open_drawer: open the cabinet drawer,B,True,"{""B"": 65}"
126,7349,7384,35,place_in_slider: place the grasped object in the slider,B,True,"{""B"": 35}"
127,7384,7429,45,lift_pink_block_table: lift the pink block up,B,True,"{""B"": 45}"
128,7429,7494,65,push_into_drawer: slide the block into the drawer,B,True,"{""B"": 65}"
129,7494,7559,65,lift_pink_block_drawer: pick up the pink block from the drawer,B,True,"{""B"": 65}"
130,7559,7624,65,open_drawer: go open the drawer,B,True,"{""B"": 65}"
131,7624,7689,65,lift_red_block_slider: lift the red block lying in the cabinet,B,True,"{""B"": 65}"
132,7689,7733,44,place_in_drawer: place the grasped object in the drawer,B,True,"{""B"": 44}"
133,7733,7798,65,rotate_blue_block_left: turn the blue block left,B,True,"{""B"": 65}"
134,7798,7836,38,push_into_drawer: slide the block into the drawer,B,True,"{""B"": 38}"
135,7836,7901,65,"rotate_red_block_right: grasp the red block, then rotate it right",B,True,"{""B"": 65}"
136,7901,7966,65,"open_drawer: grasp the handle of the drawer, then open it",B,True,"{""B"": 65}"
137,7966,8031,65,open_drawer: open the drawer,B,True,"{""B"": 65}"
138,8031,8096,65,"move_slider_right: grasp the door handle, then move the door to the right",B,True,"{""B"": 65}"
139,8096,8161,65,open_drawer: open the drawer,B,True,"{""B"": 65}"
140,8161,8226,65,close_drawer: go close the drawer,B,True,"{""B"": 65}"
141,8226,8291,65,"lift_red_block_table: grasp the red block on the table, then lift it up",B,True,"{""B"": 65}"
142,8291,8356,65,lift_red_block_slider: lift the red block lying in the cabinet,B,True,"{""B"": 65}"
143,8356,8401,45,unstack_block: remove the top block,B,True,"{""B"": 45}"
144,8401,8466,65,"open_drawer: grasp the handle of the drawer, then open it",B,True,"{""B"": 65}"
145,8466,8531,65,"rotate_red_block_left: grasp the red block, then rotate it left",B,True,"{""B"": 65}"
146,8531,8577,46,lift_blue_block_slider: pick up the blue block from the shelf,B,True,"{""B"": 46}"
147,8577,8611,34,turn_on_led: turn on the led,B,True,"{""B"": 34}"
148,8611,8676,65,unstack_block: remove the top block,B,True,"{""B"": 65}"
149,8676,8714,38,place_in_drawer: place the block in the drawer,B,True,"{""B"": 38}"
150,8714,8779,65,place_in_drawer: go towards the drawer and place the object,B,True,"{""B"": 65}"
151,8779,8844,65,lift_pink_block_table: grasp the pink block on the table and lift it up,B,True,"{""B"": 65}"
152,8844,8909,65,lift_pink_block_drawer: lift the pink block lying in the drawer,B,True,"{""B"": 65}"
153,8909,8974,65,lift_pink_block_drawer: grasp the pink block lying in the drawer,B,True,"{""B"": 65}"
154,8974,9039,65,close_drawer: grasp the drawer handle and close it,B,True,"{""B"": 65}"
155,9039,9104,65,lift_pink_block_drawer: lift the pink block lying in the drawer,B,True,"{""B"": 65}"
156,9104,9139,35,turn_on_led: turn on the led,B,True,"{""B"": 35}"
157,9139,9204,65,"move_slider_right: grasp the door handle, then slide the door to the right",B,True,"{""B"": 65}"
158,9204,9269,65,place_in_slider: place the object in the cabinet,B,True,"{""B"": 65}"
159,9269,9334,65,stack_block: stack blocks on top of each other,B,True,"{""B"": 65}"
160,9334,9374,40,"move_slider_left: grasp the door handle, then slide the door to the left",B,True,"{""B"": 40}"
161,9374,9439,65,rotate_pink_block_left: take the pink block and rotate it left,B,True,"{""B"": 65}"
162,9439,9504,65,open_drawer: go open the drawer,B,True,"{""B"": 65}"
163,9504,9569,65,lift_pink_block_slider: grasp the pink block lying in the cabinet,B,True,"{""B"": 65}"
164,9569,9634,65,"lift_red_block_table: grasp the red block, then lift it up",B,True,"{""B"": 65}"
165,9634,9699,65,move_slider_left: move the door all the way to the left,B,True,"{""B"": 65}"
166,9699,9764,65,stack_block: stack blocks on top of each other,B,True,"{""B"": 65}"
167,9764,9829,65,move_slider_left: push the door to the left side,B,True,"{""B"": 65}"
168,9829,9894,65,lift_pink_block_drawer: lift the pink block in the drawer,B,True,"{""B"": 65}"
169,9894,9959,65,close_drawer: close the cabinet drawer,B,True,"{""B"": 65}"
170,9959,10001,42,place_in_drawer: go towards the drawer and store the object,B,True,"{""B"": 42}"
171,10001,10066,65,move_slider_right: move the door to the right side,B,True,"{""B"": 65}"
172,10066,10115,49,place_in_slider: place the block in the sliding cabinet,B,True,"{""B"": 49}"
173,10115,10180,65,turn_off_led: push the button to turn off the green light,B,True,"{""B"": 65}"
174,10180,10245,65,turn_off_lightbulb: toggle the light switch to turn off the yellow light,B,True,"{""B"": 65}"
175,10245,10310,65,move_slider_right: push the door to the right,B,True,"{""B"": 65}"
176,10310,10350,40,stack_block: put the block on top of another block,B,True,"{""B"": 40}"
177,10350,10386,36,push_pink_block_left: go slide the pink block to the left,B,True,"{""B"": 36}"
178,10386,10423,37,close_drawer: grasp the drawer handle and close it,B,True,"{""B"": 37}"
179,10423,10488,65,lift_blue_block_table: grasp the blue block and lift it up,B,True,"{""B"": 65}"
180,10488,10553,65,lift_blue_block_slider: lift the blue block lying in the sliding cabinet,B,True,"{""B"": 65}"
181,10553,10618,65,move_slider_left: move the door all the way to the left,B,True,"{""B"": 65}"
182,10618,10683,65,open_drawer: grasp the drawer handle and open it,B,True,"{""B"": 65}"
183,10683,10748,65,open_drawer: go open the drawer,B,True,"{""B"": 65}"
184,10748,10813,65,lift_red_block_drawer: pick up the red block from the drawer,B,True,"{""B"": 65}"
185,10813,10878,65,move_slider_left: move the door to the left,B,True,"{""B"": 65}"
186,10878,10923,45,lift_pink_block_drawer: pick up the pink block lying in the drawer,B,True,"{""B"": 45}"
187,10923,10959,36,push_blue_block_right: go slide the blue block to the right,B,True,"{""B"": 36}"
188,10959,11024,65,lift_red_block_drawer: lift the red block lying in the drawer,B,True,"{""B"": 65}"
189,11024,11089,65,"move_slider_left: slide the door to the left, then let it go",B,True,"{""B"": 65}"
190,11089,11154,65,lift_red_block_slider: grasp the red block lying in the sliding cabinet,B,True,"{""B"": 65}"
191,11154,11219,65,move_slider_right: slide the door all the way to the right,B,True,"{""B"": 65}"
192,11219,11284,65,"lift_pink_block_table: grasp the pink block, then lift it up",B,True,"{""B"": 65}"
193,11284,11328,44,unstack_block: remove a block from the stack,B,True,"{""B"": 44}"
194,11328,11393,65,open_drawer: grasp the handle of the drawer and open it,B,True,"{""B"": 65}"
195,11393,11458,65,move_slider_left: slide the door to the left side,B,True,"{""B"": 65}"
196,11458,11523,65,stack_block: put the block on top of another block,B,True,"{""B"": 65}"
197,11523,11588,65,open_drawer: grasp the drawer handle and open it,B,True,"{""B"": 65}"
198,11588,11653,65,rotate_red_block_left: grasp the red block and turn it left,B,True,"{""B"": 65}"
199,11653,11718,65,move_slider_right: move the sliding door to the right,B,True,"{""B"": 65}"
200,11718,11783,65,lift_red_block_table: pick up the red block on the table,B,True,"{""B"": 65}"
201,11783,11848,65,turn_on_lightbulb: turn on the light bulb,B,True,"{""B"": 65}"
202,11848,11913,65,turn_on_led: push down the button to turn on the led light,B,True,"{""B"": 65}"
203,11913,11978,65,close_drawer: push the drawer,B,True,"{""B"": 65}"
204,11978,12017,39,stack_block: stack blocks on top of each other,B,True,"{""B"": 39}"
205,12017,12082,65,rotate_red_block_left: rotate the red block towards the left,B,True,"{""B"": 65}"
206,12082,12123,41,lift_pink_block_drawer: grasp the pink block lying in the drawer,B,True,"{""B"": 41}"
207,12123,12159,36,push_pink_block_right: push the pink block to the right,B,True,"{""B"": 36}"
208,12159,12224,65,"rotate_red_block_right: grasp the red block, then rotate it right",B,True,"{""B"": 65}"
209,12224,12265,41,lift_red_block_slider: lift the red block on the shelf,B,True,"{""B"": 41}"
210,12265,12330,65,turn_on_led: turn on the green lamp,B,True,"{""B"": 65}"
211,12330,12377,47,turn_off_led: push down the button to turn off the led,B,True,"{""B"": 47}"
212,12377,12420,43,place_in_slider: put the object in the slider,B,True,"{""B"": 43}"
213,12420,12466,46,move_slider_left: move the sliding door to the left,B,True,"{""B"": 46}"
214,12466,12531,65,turn_off_lightbulb: slide down the switch,B,True,"{""B"": 65}"
215,12531,12572,41,"move_slider_right: grasp the door handle, then slide the door to the right",B,True,"{""B"": 41}"
216,12572,12637,65,move_slider_left: move the door all the way to the left,B,True,"{""B"": 65}"
217,12637,12702,65,move_slider_right: move the door to the right,B,True,"{""B"": 65}"
218,12702,12767,65,move_slider_right: move the door to the right side,B,True,"{""B"": 65}"
219,12767,12832,65,unstack_block: unstack the blocks,B,True,"{""B"": 65}"
220,12832,12897,65,move_slider_right: slide the door to the right,B,True,"{""B"": 65}"
221,12897,12962,65,"move_slider_left: slide the door to the left, then let it go",B,True,"{""B"": 65}"
222,12962,13027,65,lift_blue_block_table: pick up the blue block from the table,B,True,"{""B"": 65}"
223,13027,13067,40,unstack_block: unstack the blocks,B,True,"{""B"": 40}"
224,13067,13132,65,move_slider_left: grasp the door handle and move the door to the left,B,True,"{""B"": 65}"
225,13132,13197,65,lift_blue_block_drawer: lift the blue block in the drawer,B,True,"{""B"": 65}"
226,13197,13262,65,lift_blue_block_drawer: pick up the blue block in the drawer,B,True,"{""B"": 65}"
227,13262,13327,65,turn_on_led: push the button to turn on the led,B,True,"{""B"": 65}"
228,13327,13367,40,stack_block: place the grasped block on top of another block,B,True,"{""B"": 40}"
229,13367,13432,65,move_slider_left: slide the door to the left,B,True,"{""B"": 65}"
230,13432,13497,65,push_blue_block_left: push the blue block towards the left,B,True,"{""B"": 65}"
231,13497,13562,65,turn_off_led: push down the button to turn off the green light,B,True,"{""B"": 65}"
232,13562,13627,65,close_drawer: close the drawer,B,True,"{""B"": 65}"
233,13627,13692,65,turn_off_lightbulb: toggle the light switch to turn off the light bulb,B,True,"{""B"": 65}"
234,13692,13757,65,turn_on_lightbulb: move up the switch,B,True,"{""B"": 65}"
235,13757,13822,65,lift_red_block_table: pick up the red block,B,True,"{""B"": 65}"
236,13822,13887,65,unstack_block: unstack the blocks,B,True,"{""B"": 65}"
237,13887,13930,43,stack_block: stack the blocks,B,True,"{""B"": 43}"
238,13930,13995,65,"open_drawer: grasp the handle of the drawer, then open it",B,True,"{""B"": 65}"
239,13995,14060,65,move_slider_right: slide the door all the way to the right,B,True,"{""B"": 65}"
240,14060,14109,49,push_red_block_left: push the red block towards the left,B,True,"{""B"": 49}"
241,14109,14157,48,place_in_slider: place the grasped object in the slider,B,True,"{""B"": 48}"
242,14157,14222,65,rotate_pink_block_right: grasp the pink block and turn it right,B,True,"{""B"": 65}"
243,14222,14287,65,turn_off_led: toggle the button to turn off the led,B,True,"{""B"": 65}"
244,14287,14336,49,place_in_drawer: store the block in the drawer,B,True,"{""B"": 49}"
245,14336,14401,65,"open_drawer: grasp the handle of the drawer, then open it",B,True,"{""B"": 65}"
246,14401,14466,65,close_drawer: grasp the drawer handle and close it,B,True,"{""B"": 65}"
247,14466,14531,65,lift_blue_block_slider: in the cabinet grasp the blue block,B,True,"{""B"": 65}"
248,14531,14596,65,lift_pink_block_table: grasp the pink block and lift it up,B,True,"{""B"": 65}"
249,14596,14661,65,move_slider_right: move the door to the right,B,True,"{""B"": 65}"
250,14661,14726,65,move_slider_right: move the door to the right side,B,True,"{""B"": 65}"
251,14726,14791,65,lift_pink_block_drawer: grasp the pink block lying in the drawer,B,True,"{""B"": 65}"
252,14791,14856,65,lift_pink_block_table: grasp the pink block on the table and lift it up,B,True,"{""B"": 65}"
253,14856,14921,65,turn_off_lightbulb: turn off the yellow light,B,True,"{""B"": 65}"
254,14921,14986,65,rotate_blue_block_right: rotate right the blue block,B,True,"{""B"": 65}"
255,14986,15051,65,lift_blue_block_slider: pick up the blue block in the sliding cabinet,B,True,"{""B"": 65}"
256,15051,15116,65,close_drawer: push the drawer,B,True,"{""B"": 65}"
257,15116,15163,47,place_in_drawer: place the block in the drawer,B,True,"{""B"": 47}"
258,15163,15228,65,open_drawer: pull the drawer,B,True,"{""B"": 65}"
259,15228,15293,65,lift_red_block_slider: in the slider grasp the red block,B,True,"{""B"": 65}"
260,15293,15358,65,stack_block: stack the block on top of another block,B,True,"{""B"": 65}"
261,15358,15423,65,lift_blue_block_table: lift the blue block from the table,B,True,"{""B"": 65}"
262,15423,15488,65,lift_red_block_drawer: pick up the red block from the drawer,B,True,"{""B"": 65}"
263,15488,15553,65,rotate_blue_block_right: rotate the blue block 90 degrees to the right,B,True,"{""B"": 65}"
264,15553,15618,65,lift_red_block_slider: lift the red block lying in the cabinet,B,True,"{""B"": 65}"
265,15618,15683,65,push_red_block_left: slide the red block towards the left,B,True,"{""B"": 65}"
266,15683,15748,65,move_slider_left: slide the door to the left,B,True,"{""B"": 65}"
267,15748,15813,65,turn_on_lightbulb: toggle the light switch to turn on the yellow light,B,True,"{""B"": 65}"
268,15813,15878,65,close_drawer: push the drawer,B,True,"{""B"": 65}"
269,15878,15919,41,lift_red_block_drawer: go towards the red block in the drawer and pick it up,B,True,"{""B"": 41}"
270,15919,15963,44,stack_block: stack the object on top of another object,B,True,"{""B"": 44}"
271,15963,16028,65,push_blue_block_right: slide the blue block towards the right,B,True,"{""B"": 65}"
272,16028,16093,65,lift_red_block_table: lift the red block,B,True,"{""B"": 65}"
273,16093,16158,65,turn_off_lightbulb: toggle the light switch to turn off the yellow light,B,True,"{""B"": 65}"
274,16158,16223,65,rotate_red_block_right: take the red block and turn it right,B,True,"{""B"": 65}"
275,16223,16288,65,rotate_pink_block_left: take the pink block and turn it left,B,True,"{""B"": 65}"
276,16288,16353,65,open_drawer: pull the drawer,B,True,"{""B"": 65}"
277,16353,16418,65,push_red_block_left: go slide the red block to the left,B,True,"{""B"": 65}"
278,16418,16463,45,place_in_slider: put the object in the sliding cabinet,B,True,"{""B"": 45}"
279,16463,16503,40,place_in_slider: put the grasped object in the cabinet,B,True,"{""B"": 40}"
280,16503,16549,46,unstack_block: unstack the blocks,B,True,"{""B"": 46}"
281,16549,16589,40,turn_on_led: toggle the button to turn on the led,B,True,"{""B"": 40}"
282,16589,16634,45,unstack_block: unstack the blocks,B,True,"{""B"": 45}"
283,16634,16699,65,open_drawer: pull the drawer,B,True,"{""B"": 65}"
284,16699,16764,65,lift_blue_block_slider: grasp the blue block lying in the cabinet,B,True,"{""B"": 65}"
285,16764,16813,49,"lift_red_block_table: grasp the red block, then lift it up",B,True,"{""B"": 49}"
286,16813,16878,65,push_blue_block_right: push the blue block towards the right,B,True,"{""B"": 65}"
287,16878,16943,65,"move_slider_right: slide the door to the right, then let it go",B,True,"{""B"": 65}"
288,16943,17008,65,"lift_pink_block_table: grasp the pink block, then lift it up",B,True,"{""B"": 65}"
289,17008,17073,65,stack_block: stack the object on top of another object,B,True,"{""B"": 65}"
290,17073,17138,65,turn_on_led: toggle the button to turn on the green light,B,True,"{""B"": 65}"
291,17138,17203,65,turn_on_lightbulb: turn on the light bulb,B,True,"{""B"": 65}"
292,17203,17245,42,place_in_slider: put the block in the slider,B,True,"{""B"": 42}"
293,17245,17310,65,unstack_block: go to the tower of blocks and take off the top one,B,True,"{""B"": 65}"
294,17310,17375,65,push_into_drawer: push the object that it falls into the drawer,B,True,"{""B"": 65}"
295,17375,17440,65,place_in_drawer: put the grasped object in the drawer,B,True,"{""B"": 65}"
296,17440,17505,65,turn_on_lightbulb: toggle the light switch to turn on the light bulb,B,True,"{""B"": 65}"
297,17505,17570,65,close_drawer: push the handle of the drawer,B,True,"{""B"": 65}"
298,17570,17605,35,stack_block: put the grasped block on top of a block,B,True,"{""B"": 35}"
299,17605,17670,65,lift_blue_block_drawer: lift the blue block lying in the drawer,B,True,"{""B"": 65}"
300,17670,17735,65,turn_on_lightbulb: turn on the yellow light,B,True,"{""B"": 65}"
301,17735,17782,47,place_in_slider: place the grasped object in the sliding cabinet,B,True,"{""B"": 47}"
302,17782,17847,65,turn_off_led: push down the button to turn off the led,B,True,"{""B"": 65}"
303,17847,17912,65,turn_on_lightbulb: move the light switch to turn on the light bulb,B,True,"{""B"": 65}"
304,17912,17977,65,"move_slider_left: grasp the door handle, then move the door to the left",B,True,"{""B"": 65}"
305,17977,18042,65,lift_pink_block_drawer: lift the pink block in the drawer,B,True,"{""B"": 65}"
306,18042,18107,65,lift_blue_block_table: pick up the blue block on the table,B,True,"{""B"": 65}"
307,18107,18172,65,turn_on_led: turn on the green lamp,B,True,"{""B"": 65}"
308,18172,18237,65,open_drawer: open the cabinet drawer,B,True,"{""B"": 65}"
309,18237,18302,65,push_into_drawer: sweep the block into the drawer,B,True,"{""B"": 65}"
310,18302,18339,37,turn_off_led: toggle the button to turn off the green light,B,True,"{""B"": 37}"
