run,step,loss,source_log
TA splitA A-only 100k,79000,0.236,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,80000,0.234,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,81000,0.233,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,82000,0.226,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,83000,0.229,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,84000,0.225,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,85000,0.232,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,86000,0.226,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,87000,0.236,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,88000,0.218,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,89000,0.226,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,90000,0.218,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,91000,0.221,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,92000,0.228,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,93000,0.217,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,94000,0.216,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,95000,0.22,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,96000,0.215,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,97000,0.211,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,98000,0.215,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,99000,0.229,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,100000,0.214,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,200,6.291,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,400,2.904,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,600,2.51,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,800,2.271,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,1000,1.759,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,2000,1.21,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,3000,0.87,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,4000,0.652,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,5000,0.538,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,6000,0.458,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,7000,0.429,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,8000,0.387,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,9000,0.381,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,10000,0.363,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,11000,0.34,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,12000,0.345,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,13000,0.32,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,14000,0.321,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,15000,0.324,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,16000,0.314,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,17000,0.31,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,18000,0.299,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,19000,0.295,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,20000,0.295,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,21000,0.283,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,22000,0.289,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,23000,0.275,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,24000,0.285,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,25000,0.273,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,26000,0.272,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,27000,0.276,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,28000,0.277,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,29000,0.275,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,30000,0.274,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,31000,0.274,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,32000,0.279,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,33000,0.273,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,34000,0.271,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,35000,0.272,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,36000,0.273,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,37000,0.271,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,38000,0.272,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,39000,0.276,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,40000,0.267,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,41000,0.262,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,42000,0.274,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,43000,0.267,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,44000,0.255,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,45000,0.261,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,46000,0.257,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,47000,0.256,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,48000,0.264,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,49000,0.253,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,50000,0.255,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,51000,0.263,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,52000,0.25,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,53000,0.255,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,54000,0.257,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,55000,0.258,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,56000,0.253,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,57000,0.249,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,58000,0.258,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,59000,0.258,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,60000,0.249,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,61000,0.258,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,62000,0.259,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,63000,0.252,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,64000,0.263,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,65000,0.255,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,66000,0.249,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,67000,0.254,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,68000,0.249,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,69000,0.244,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,70000,0.254,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,71000,0.247,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,72000,0.249,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,73000,0.241,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,74000,0.236,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,75000,0.25,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,76000,0.243,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,77000,0.244,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,78000,0.238,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,79000,0.236,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,80000,0.246,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,81000,0.246,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,82000,0.25,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,83000,0.244,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,84000,0.24,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,85000,0.242,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,86000,0.249,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,87000,0.24,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,88000,0.241,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,89000,0.24,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,90000,0.237,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,91000,0.233,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,92000,0.23,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,93000,0.238,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,94000,0.242,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,95000,0.233,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,96000,0.234,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,97000,0.235,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,98000,0.241,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,99000,0.236,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC one-hot 100k,100000,0.236,logs-full\act_ta_abc_taskcond_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,200,6.25,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,400,2.847,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,600,2.447,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,800,2.214,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,1000,1.699,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,2000,1.164,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,3000,0.825,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,4000,0.622,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,5000,0.504,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,6000,0.437,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,7000,0.404,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,8000,0.383,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,9000,0.357,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,10000,0.347,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,11000,0.331,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,12000,0.325,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,13000,0.307,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,14000,0.306,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,15000,0.301,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,16000,0.293,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,17000,0.291,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,18000,0.288,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,19000,0.296,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,20000,0.276,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,21000,0.274,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,22000,0.279,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,23000,0.275,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,24000,0.282,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,25000,0.282,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,26000,0.267,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,27000,0.264,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,28000,0.273,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,29000,0.273,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,30000,0.264,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,31000,0.266,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,32000,0.264,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,33000,0.274,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,34000,0.259,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,35000,0.266,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,36000,0.263,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,37000,0.262,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,38000,0.257,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,39000,0.255,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,40000,0.268,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,41000,0.262,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,42000,0.26,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,43000,0.262,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,44000,0.258,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,45000,0.26,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
TA splitABC SBERT 100k,46000,0.258,logs-full\act_ta_abc_lang_sbert_100k_seed0.ta_official.train.log
