episode_index,length,dataset_from_index,dataset_to_index,original_frame_min,original_frame_max,official_env,fully_within_single_scene,env_counts,task_index
185,45,10896,10941,1312619,1312663,A,True,"{""A"": 45}",132
186,65,10941,11006,653595,653659,C,True,"{""C"": 65}",133
187,65,11006,11071,1145481,1145545,C,True,"{""C"": 65}",134
188,65,11071,11136,171017,171081,B,True,"{""B"": 65}",135
189,65,11136,11201,1349108,1349172,A,True,"{""A"": 65}",136
190,65,11201,11266,1028879,1028943,C,True,"{""C"": 65}",113
191,65,11266,11331,1257524,1257588,A,True,"{""A"": 65}",137
192,65,11331,11396,803971,804035,C,True,"{""C"": 65}",45
193,65,11396,11461,1792820,1792884,A,True,"{""A"": 65}",85
194,65,11461,11526,981473,981537,C,True,"{""C"": 65}",138
195,39,11526,11565,1166284,1166322,C,True,"{""C"": 39}",139
196,65,11565,11630,386969,387033,B,True,"{""B"": 65}",112
197,65,11630,11695,1329036,1329100,A,True,"{""A"": 65}",140
198,65,11695,11760,877011,877075,C,True,"{""C"": 65}",11
199,65,11760,11825,773547,773611,C,True,"{""C"": 65}",126
200,65,11825,11890,462147,462211,B,True,"{""B"": 65}",72
201,65,11890,11955,1097356,1097420,C,True,"{""C"": 65}",126
202,65,11955,12020,1374871,1374935,A,True,"{""A"": 65}",141
203,65,12020,12085,271918,271982,B,True,"{""B"": 65}",142
204,65,12085,12150,1190584,1190648,C,True,"{""C"": 65}",85
205,65,12150,12215,709508,709572,C,True,"{""C"": 65}",103
206,65,12215,12280,1393726,1393790,A,True,"{""A"": 65}",112
207,37,12280,12317,34547,34583,B,True,"{""B"": 37}",35
208,65,12317,12382,225061,225125,B,True,"{""B"": 65}",13
209,65,12382,12447,225674,225738,B,True,"{""B"": 65}",88
210,65,12447,12512,36873,36937,B,True,"{""B"": 65}",143
211,65,12512,12577,274170,274234,B,True,"{""B"": 65}",144
212,65,12577,12642,214908,214972,B,True,"{""B"": 65}",145
213,36,12642,12678,534400,534435,B,True,"{""B"": 36}",53
214,65,12678,12743,474656,474720,B,True,"{""B"": 65}",146
215,65,12743,12808,583867,583931,B,True,"{""B"": 65}",147
216,65,12808,12873,77496,77560,B,True,"{""B"": 65}",109
217,49,12873,12922,915486,915534,C,True,"{""C"": 49}",148
218,46,12922,12968,1793281,1793326,A,True,"{""A"": 46}",105
219,65,12968,13033,1532298,1532362,A,True,"{""A"": 65}",149
220,65,13033,13098,777222,777286,C,True,"{""C"": 65}",124
221,65,13098,13163,3586,3650,B,True,"{""B"": 65}",107
222,65,13163,13228,1242776,1242840,A,True,"{""A"": 65}",4
223,65,13228,13293,470363,470427,B,True,"{""B"": 65}",150
224,65,13293,13358,78049,78113,B,True,"{""B"": 65}",151
225,65,13358,13423,1549678,1549742,A,True,"{""A"": 65}",97
226,49,13423,13472,855947,855995,C,True,"{""C"": 49}",152
227,65,13472,13537,638876,638940,C,True,"{""C"": 65}",66
228,65,13537,13602,1389864,1389928,A,True,"{""A"": 65}",153
229,65,13602,13667,305321,305385,B,True,"{""B"": 65}",154
230,65,13667,13732,1121612,1121676,C,True,"{""C"": 65}",155
231,37,13732,13769,980871,980907,C,True,"{""C"": 37}",20
232,49,13769,13818,1425533,1425581,A,True,"{""A"": 49}",95
233,65,13818,13883,999287,999351,C,True,"{""C"": 65}",8
234,34,13883,13917,985131,985164,C,True,"{""C"": 34}",156
235,65,13917,13982,1690221,1690285,A,True,"{""A"": 65}",29
236,65,13982,14047,674665,674729,C,True,"{""C"": 65}",157
237,65,14047,14112,867602,867666,C,True,"{""C"": 65}",158
238,65,14112,14177,870381,870445,C,True,"{""C"": 65}",159
239,65,14177,14242,1351553,1351617,A,True,"{""A"": 65}",160
240,38,14242,14280,980077,980114,C,True,"{""C"": 38}",50
241,65,14280,14345,96359,96423,B,True,"{""B"": 65}",156
242,35,14345,14380,1113666,1113700,C,True,"{""C"": 35}",161
243,65,14380,14445,98620,98684,B,True,"{""B"": 65}",80
244,65,14445,14510,91558,91622,B,True,"{""B"": 65}",162
245,65,14510,14575,1568461,1568525,A,True,"{""A"": 65}",70
246,65,14575,14640,465581,465645,B,True,"{""B"": 65}",163
247,65,14640,14705,1019067,1019131,C,True,"{""C"": 65}",164
248,65,14705,14770,1352966,1353030,A,True,"{""A"": 65}",165
249,65,14770,14835,30122,30186,B,True,"{""B"": 65}",166
250,65,14835,14900,999410,999474,C,True,"{""C"": 65}",6
251,65,14900,14965,89092,89156,B,True,"{""B"": 65}",46
252,65,14965,15030,1494895,1494959,A,True,"{""A"": 65}",141
253,65,15030,15095,234157,234221,B,True,"{""B"": 65}",101
254,36,15095,15131,1162113,1162148,C,True,"{""C"": 36}",110
255,65,15131,15196,482565,482629,B,True,"{""B"": 65}",149
256,65,15196,15261,1293081,1293145,A,True,"{""A"": 65}",167
257,65,15261,15326,795510,795574,C,True,"{""C"": 65}",88
258,46,15326,15372,824096,824141,C,True,"{""C"": 46}",161
259,65,15372,15437,1055377,1055441,C,True,"{""C"": 65}",58
260,48,15437,15485,445346,445393,B,True,"{""B"": 48}",168
261,65,15485,15550,1675410,1675474,A,True,"{""A"": 65}",169
262,43,15550,15593,1572732,1572774,A,True,"{""A"": 43}",170
263,65,15593,15658,585309,585373,B,True,"{""B"": 65}",171
264,65,15658,15723,969316,969380,C,True,"{""C"": 65}",172
265,65,15723,15788,1279487,1279551,A,True,"{""A"": 65}",60
266,39,15788,15827,20980,21018,B,True,"{""B"": 39}",39
267,65,15827,15892,125655,125719,B,True,"{""B"": 65}",173
268,65,15892,15957,505055,505119,B,True,"{""B"": 65}",174
269,42,15957,15999,1170845,1170886,C,True,"{""C"": 42}",175
270,34,15999,16033,490449,490482,B,True,"{""B"": 34}",176
271,65,16033,16098,1284020,1284084,A,True,"{""A"": 65}",35
272,48,16098,16146,154769,154816,B,True,"{""B"": 48}",177
273,35,16146,16181,1465640,1465674,A,True,"{""A"": 35}",178
274,36,16181,16217,1035963,1035998,C,True,"{""C"": 36}",0
275,65,16217,16282,1374403,1374467,A,True,"{""A"": 65}",33
276,38,16282,16320,1657180,1657217,A,True,"{""A"": 38}",27
277,65,16320,16385,1172707,1172771,C,True,"{""C"": 65}",124
278,65,16385,16450,646153,646217,C,True,"{""C"": 65}",5
279,65,16450,16515,1305668,1305732,A,True,"{""A"": 65}",179
280,34,16515,16549,1739319,1739352,A,True,"{""A"": 34}",180
281,65,16549,16614,306775,306839,B,True,"{""B"": 65}",69
282,65,16614,16679,88111,88175,B,True,"{""B"": 65}",154
283,65,16679,16744,895430,895494,C,True,"{""C"": 65}",153
284,39,16744,16783,965731,965769,C,True,"{""C"": 39}",143
285,65,16783,16848,355158,355222,B,True,"{""B"": 65}",181
286,65,16848,16913,933836,933900,C,True,"{""C"": 65}",182
287,48,16913,16961,1252927,1252974,A,True,"{""A"": 48}",14
288,65,16961,17026,1626228,1626292,A,True,"{""A"": 65}",61
289,47,17026,17073,283195,283241,B,True,"{""B"": 47}",62
290,40,17073,17113,24601,24640,B,True,"{""B"": 40}",84
291,65,17113,17178,1012585,1012649,C,True,"{""C"": 65}",146
292,65,17178,17243,1666679,1666743,A,True,"{""A"": 65}",173
293,65,17243,17308,292413,292477,B,True,"{""B"": 65}",183
294,65,17308,17373,27339,27403,B,True,"{""B"": 65}",160
295,65,17373,17438,353918,353982,B,True,"{""B"": 65}",57
296,65,17438,17503,1556792,1556856,A,True,"{""A"": 65}",27
297,65,17503,17568,863868,863932,C,True,"{""C"": 65}",11
298,48,17568,17616,165770,165817,B,True,"{""B"": 48}",184
299,65,17616,17681,430586,430650,B,True,"{""B"": 65}",164
300,65,17681,17746,1561417,1561481,A,True,"{""A"": 65}",22
301,65,17746,17811,1576597,1576661,A,True,"{""A"": 65}",40
302,43,17811,17854,20931,20973,B,True,"{""B"": 43}",185
303,47,17854,17901,482383,482429,B,True,"{""B"": 47}",186
304,65,17901,17966,36096,36160,B,True,"{""B"": 65}",119
305,36,17966,18002,794651,794686,C,True,"{""C"": 36}",169
306,65,18002,18067,1144154,1144218,C,True,"{""C"": 65}",187
307,65,18067,18132,186935,186999,B,True,"{""B"": 65}",188
308,65,18132,18197,308760,308824,B,True,"{""B"": 65}",80
309,65,18197,18262,89390,89454,B,True,"{""B"": 65}",69
310,65,18262,18327,165024,165088,B,True,"{""B"": 65}",98
311,36,18327,18363,607308,607343,C,True,"{""C"": 36}",60
312,65,18363,18428,170668,170732,B,True,"{""B"": 65}",2
313,65,18428,18493,867802,867866,C,True,"{""C"": 65}",189
314,40,18493,18533,861515,861554,C,True,"{""C"": 40}",190
315,43,18533,18576,1511087,1511129,A,True,"{""A"": 43}",191
316,65,18576,18641,717487,717551,C,True,"{""C"": 65}",12
317,65,18641,18706,220851,220915,B,True,"{""B"": 65}",192
318,65,18706,18771,1098483,1098547,C,True,"{""C"": 65}",26
319,65,18771,18836,624991,625055,C,True,"{""C"": 65}",37
320,65,18836,18901,1359503,1359567,A,True,"{""A"": 65}",160
321,47,18901,18948,1396175,1396221,A,True,"{""A"": 47}",177
322,65,18948,19013,1006837,1006901,C,True,"{""C"": 65}",166
323,65,19013,19078,844612,844676,C,True,"{""C"": 65}",193
324,43,19078,19121,1537769,1537811,A,True,"{""A"": 43}",191
325,65,19121,19186,752942,753006,C,True,"{""C"": 65}",194
326,65,19186,19251,1543526,1543590,A,True,"{""A"": 65}",195
327,65,19251,19316,1475113,1475177,A,True,"{""A"": 65}",196
328,65,19316,19381,959150,959214,C,True,"{""C"": 65}",117
329,65,19381,19446,1103567,1103631,C,True,"{""C"": 65}",109
330,65,19446,19511,900390,900454,C,True,"{""C"": 65}",51
331,65,19511,19576,275047,275111,B,True,"{""B"": 65}",123
332,65,19576,19641,52852,52916,B,True,"{""B"": 65}",197
333,65,19641,19706,1544596,1544660,A,True,"{""A"": 65}",143
334,65,19706,19771,353290,353354,B,True,"{""B"": 65}",198
335,46,19771,19817,434950,434995,B,True,"{""B"": 46}",199
336,38,19817,19855,1465179,1465216,A,True,"{""A"": 38}",50
337,65,19855,19920,170528,170592,B,True,"{""B"": 65}",200
338,65,19920,19985,57249,57313,B,True,"{""B"": 65}",201
339,65,19985,20050,620606,620670,C,True,"{""C"": 65}",202
340,65,20050,20115,1745782,1745846,A,True,"{""A"": 65}",203
341,65,20115,20180,1247535,1247599,A,True,"{""A"": 65}",72
342,45,20180,20225,17765,17809,B,True,"{""B"": 45}",41
343,65,20225,20290,431852,431916,B,True,"{""B"": 65}",71
344,65,20290,20355,172585,172649,B,True,"{""B"": 65}",75
345,65,20355,20420,1049180,1049244,C,True,"{""C"": 65}",141
346,65,20420,20485,62937,63001,B,True,"{""B"": 65}",16
347,65,20485,20550,997306,997370,C,True,"{""C"": 65}",193
348,43,20550,20593,563252,563294,B,True,"{""B"": 43}",204
349,43,20593,20636,1015659,1015701,C,True,"{""C"": 43}",156
350,65,20636,20701,11896,11960,B,True,"{""B"": 65}",40
351,65,20701,20766,1162311,1162375,C,True,"{""C"": 65}",205
352,65,20766,20831,1093316,1093380,C,True,"{""C"": 65}",37
353,65,20831,20896,1135343,1135407,C,True,"{""C"": 65}",61
354,65,20896,20961,1271023,1271087,A,True,"{""A"": 65}",206
355,65,20961,21026,286118,286182,B,True,"{""B"": 65}",39
356,47,21026,21073,992899,992945,C,True,"{""C"": 47}",207
357,65,21073,21138,271498,271562,B,True,"{""B"": 65}",50
358,65,21138,21203,1057900,1057964,C,True,"{""C"": 65}",51
359,65,21203,21268,797063,797127,C,True,"{""C"": 65}",12
360,65,21268,21333,309658,309722,B,True,"{""B"": 65}",51
361,65,21333,21398,493296,493360,B,True,"{""B"": 65}",61
362,65,21398,21463,807915,807979,C,True,"{""C"": 65}",141
363,65,21463,21528,1756689,1756753,A,True,"{""A"": 65}",169
364,65,21528,21593,973227,973291,C,True,"{""C"": 65}",208
365,65,21593,21658,1179177,1179241,C,True,"{""C"": 65}",209
366,65,21658,21723,165555,165619,B,True,"{""B"": 65}",210
367,65,21723,21788,434540,434604,B,True,"{""B"": 65}",72
368,39,21788,21827,1553271,1553309,A,True,"{""A"": 39}",61
369,65,21827,21892,1692554,1692618,A,True,"{""A"": 65}",206
370,65,21892,21957,1751145,1751209,A,True,"{""A"": 65}",211
371,65,21957,22022,836292,836356,C,True,"{""C"": 65}",212
372,65,22022,22087,1040895,1040959,C,True,"{""C"": 65}",208
373,65,22087,22152,976699,976763,C,True,"{""C"": 65}",152
374,47,22152,22199,1753098,1753144,A,True,"{""A"": 47}",169
375,65,22199,22264,167831,167895,B,True,"{""B"": 65}",50
376,65,22264,22329,459946,460010,B,True,"{""B"": 65}",213
377,65,22329,22394,1251810,1251874,A,True,"{""A"": 65}",203
378,65,22394,22459,305093,305157,B,True,"{""B"": 65}",214
379,46,22459,22505,1376269,1376314,A,True,"{""A"": 46}",214
380,65,22505,22570,154676,154740,B,True,"{""B"": 65}",152
381,65,22570,22635,995643,995707,C,True,"{""C"": 65}",215
382,65,22635,22700,222775,222839,B,True,"{""B"": 65}",216
383,65,22700,22765,257222,257286,B,True,"{""B"": 65}",217
384,65,22765,22830,1618066,1618130,A,True,"{""A"": 65}",5
385,65,22830,22895,920366,920430,C,True,"{""C"": 65}",54
386,36,22895,22931,834839,834874,C,True,"{""C"": 36}",193
387,65,22931,22996,266414,266478,B,True,"{""B"": 65}",218
388,65,22996,23061,622880,622944,C,True,"{""C"": 65}",94
389,65,23061,23126,955475,955539,C,True,"{""C"": 65}",219
390,65,23126,23191,274987,275051,B,True,"{""B"": 65}",104
391,65,23191,23256,228191,228255,B,True,"{""B"": 65}",220
392,65,23256,23321,779122,779186,C,True,"{""C"": 65}",221
393,65,23321,23386,480518,480582,B,True,"{""B"": 65}",222
394,65,23386,23451,1643667,1643731,A,True,"{""A"": 65}",223
395,46,23451,23497,470435,470480,B,True,"{""B"": 46}",190
396,65,23497,23562,575038,575102,B,True,"{""B"": 65}",116
397,65,23562,23627,179068,179132,B,True,"{""B"": 65}",101
398,65,23627,23692,486142,486206,B,True,"{""B"": 65}",224
399,38,23692,23730,531152,531189,B,True,"{""B"": 38}",197
400,65,23730,23795,443695,443759,B,True,"{""B"": 65}",225
401,65,23795,23860,265190,265254,B,True,"{""B"": 65}",226
402,65,23860,23925,877445,877509,C,True,"{""C"": 65}",227
403,65,23925,23990,221855,221919,B,True,"{""B"": 65}",48
404,65,23990,24055,1794804,1794868,A,True,"{""A"": 65}",228
405,65,24055,24120,52977,53041,B,True,"{""B"": 65}",229
406,42,24120,24162,1758572,1758613,A,True,"{""A"": 42}",230
407,43,24162,24205,1276668,1276710,A,True,"{""A"": 43}",111
408,65,24205,24270,1545343,1545407,A,True,"{""A"": 65}",114
409,65,24270,24335,43632,43696,B,True,"{""B"": 65}",231
410,41,24335,24376,462649,462689,B,True,"{""B"": 41}",202
411,65,24376,24441,1707599,1707663,A,True,"{""A"": 65}",232
412,65,24441,24506,365829,365893,B,True,"{""B"": 65}",217
413,65,24506,24571,1334664,1334728,A,True,"{""A"": 65}",100
414,65,24571,24636,1741997,1742061,A,True,"{""A"": 65}",230
415,65,24636,24701,1694768,1694832,A,True,"{""A"": 65}",200
416,65,24701,24766,286672,286736,B,True,"{""B"": 65}",233
417,65,24766,24831,278443,278507,B,True,"{""B"": 65}",178
418,65,24831,24896,1746428,1746492,A,True,"{""A"": 65}",234
419,65,24896,24961,1127945,1128009,C,True,"{""C"": 65}",235
420,65,24961,25026,1421576,1421640,A,True,"{""A"": 65}",236
421,65,25026,25091,963370,963434,C,True,"{""C"": 65}",36
422,65,25091,25156,167087,167151,B,True,"{""B"": 65}",237
